tag	name	vr	vm	is_retired
(0008,2127)	View Name	SH	1	false
(0008,2128)	View Number	IS	1	false
(0008,2129)	Number of Event Timers	IS	1	false
(0008,212A)	Number of Views in Stage	IS	1	false
(0008,2130)	Event Elapsed Time(s)	DS	1-n	false
(0008,2132)	Event Timer Name(s)	LO	1-n	false
(0008,2133)	Event Timer Sequence	SQ	1	false
(0008,2134)	Event Time Offset	FD	1	false
(0008,2135)	Event Code Sequence	SQ	1	false
(0008,2142)	Start Trim	IS	1	false
(0008,2143)	Stop Trim	IS	1	false
(0008,2144)	Recommended Display Frame Rate	IS	1	false
(0008,2200)	Transducer Position	CS	1	true
(0008,2204)	Transducer Orientation	CS	1	true
(0008,2208)	Anatomic Structure	CS	1	true
(0008,2218)	Anatomic Region Sequence	SQ	1	false
(0008,2220)	Anatomic Region Modifier Sequence	SQ	1	false
(0008,2228)	Primary Anatomic Structure Sequence	SQ	1	false
(0008,2229)	Anatomic Structure, Space or Region Sequence	SQ	1	true
(0008,2230)	Primary Anatomic Structure Modifier Sequence	SQ	1	false
(0008,2240)	Transducer Position Sequence	SQ	1	true
(0008,2242)	Transducer Position Modifier Sequence	SQ	1	true
(0008,2244)	Transducer Orientation Sequence	SQ	1	true
(0008,2246)	Transducer Orientation Modifier Sequence	SQ	1	true
(0008,2251)	Anatomic Structure Space Or Region Code Sequence (Trial)	SQ	1	true
(0008,2253)	Anatomic Portal Of Entrance Code Sequence (Trial)	SQ	1	true
(0008,2255)	Anatomic Approach Direction Code Sequence (Trial)	SQ	1	true
(0008,2256)	Anatomic Perspective Description (Trial)	ST	1	true
(0008,2257)	Anatomic Perspective Code Sequence (Trial)	SQ	1	true
(0008,2258)	Anatomic Location Of Examining Instrument Description (Trial)	ST	1	true
(0008,2259)	Anatomic Location Of Examining Instrument Code Sequence (Trial)	SQ	1	true
(0008,225A)	Anatomic Structure Space Or Region Modifier Code Sequence (Trial)	SQ	1	true
(0008,225C)	On Axis Background Anatomic Structure Code Sequence (Trial)	SQ	1	true
(0008,3001)	Alternate Representation Sequence	SQ	1	false
(0008,3002)	Available Transfer Syntax UID	UI	1-n	false
(0008,3010)	Irradiation Event UID	UI	1-n	false
(0008,3011)	Source Irradiation Event Sequence	SQ	1	false
(0008,3012)	Radiopharmaceutical Administration Event UID	UI	1	false
(0008,4000)	Identifying Comments	LT	1	true
(0008,9007)	Frame Type	CS	4-5	false
(0008,9092)	Referenced Image Evidence Sequence	SQ	1	false
(0008,9121)	Referenced Raw Data Sequence	SQ	1	false
(0008,9123)	Creator-Version UID	UI	1	false
(0008,9124)	Derivation Image Sequence	SQ	1	false
(0008,9154)	Source Image Evidence Sequence	SQ	1	false
(0008,9205)	Pixel Presentation	CS	1	false
(0008,9206)	Volumetric Properties	CS	1	false
(0008,9207)	Volume Based Calculation Technique	CS	1	false
(0008,9208)	Complex Image Component	CS	1	false
(0008,9209)	Acquisition Contrast	CS	1	false
(0008,9215)	Derivation Code Sequence	SQ	1	false
(0008,9237)	Referenced Presentation State Sequence	SQ	1	false
(0008,9410)	Referenced Other Plane Sequence	SQ	1	false
(0008,9458)	Frame Display Sequence	SQ	1	false
(0008,9459)	Recommended Display Frame Rate in Float	FL	1	false
(0008,9460)	Skip Frame Range Flag	CS	1	false
(0010,0010)	Patient&#x27;s Name	PN	1	false
(0010,0011)	Person Names to Use Sequence	SQ	1	false
